environmentalist-n	reformer-n
frustration-n	feeling-n
limousine-n	car-n
psoriasis-n	disease-n
radiotherapy-n	care-n
geology-n	discipline-n
automobile-n	vehicle-n
stagecoach-n	vehicle-n
skating-n	sport-n
blaze-n	combustion-n
bereavement-n	emotion-n
tortoise-n	reptile-n
seabird-n	vertebrate-n
woodpecker-n	animal-n
prefecture-n	district-n
footbridge-n	bridge-n
experiment-n	research-n
uterus-n	organ-n
muse-n	deity-n
lingerie-n	garment-n
influenza-n	illness-n
rune-n	signal-n
turnpike-n	gate-n
edge-n	boundary-n
girlfriend-n	woman-n
dagger-n	instrument-n
python-n	vertebrate-n
secretariat-n	organization-n
aircrew-n	crew-n
governor-n	politician-n
oat-n	cereal-n
bomber-n	aircraft-n
wolf-n	vertebrate-n
anaesthetist-n	adult-n
priory-n	house-n
panda-n	animal-n
anger-n	feeling-n
percussionist-n	performer-n
parody-n	caricature-n
feeder-n	animal-n
fielder-n	athlete-n
militia-n	organization-n
cannon-n	armament-n
baritone-n	entertainer-n
motto-n	saying-n
gall-n	disease-n
warrant-n	document-n
buggy-n	vehicle-n
anatomy-n	discipline-n
islander-n	inhabitant-n
pronoun-n	word-n
monsoon-n	wind-n
displeasure-n	emotion-n
aide-n	serviceman-n
phonology-n	science-n
monoclonal-n	molecule-n
height-n	magnitude-n
python-n	reptile-n
galley-n	vehicle-n
trouser-n	garment-n
catastrophe-n	misfortune-n
comic-n	performer-n
father-n	progenitor-n
gymnasium-n	school-n
benzene-n	chemical-n
turkey-n	animal-n
dormitory-n	building-n
postgraduate-n	student-n
rig-n	equipment-n
spaghetti-n	pasta-n
missile-n	instrument-n
biologist-n	scientist-n
colon-n	organ-n
multiculturalism-n	doctrine-n
virus-n	microorganism-n
bear-n	mammal-n
dorm-n	housing-n
booze-n	drug-n
drummer-n	performer-n
kettle-n	utensil-n
mesothelioma-n	illness-n
granddaughter-n	offspring-n
aneurysm-n	disorder-n
internment-n	captivity-n
vole-n	animal-n
grandchild-n	offspring-n
whiskey-n	liquor-n
croquet-n	sport-n
karaoke-n	entertainment-n
trolley-n	vehicle-n
asp-n	vertebrate-n
antibiotic-n	drug-n
infusion-n	solution-n
handgun-n	gun-n
funeral-n	ceremony-n
reggae-n	music-n
resignation-n	feeling-n
serpent-n	animal-n
cereal-n	herb-n
overpayment-n	payment-n
bulldog-n	dog-n
bacterium-n	microorganism-n
assortment-n	collection-n
biplane-n	aircraft-n
bailiff-n	worker-n
sauna-n	room-n
dogma-n	doctrine-n
documentary-n	movie-n
conjecture-n	idea-n
lipid-n	molecule-n
saxophonist-n	performer-n
buggy-n	container-n
berry-n	solid-n
stallion-n	horse-n
stepfather-n	ancestor-n
pony-n	mammal-n
bed-n	furniture-n
melon-n	solid-n
butcher-n	merchant-n
seminary-n	institution-n
postman-n	worker-n
motorcycle-n	vehicle-n
mother-n	relative-n
infant-n	relative-n
milk-n	beverage-n
ointment-n	drug-n
traction-n	phenomenon-n
empress-n	ruler-n
mater-n	ancestor-n
liquor-n	liquid-n
resident-n	inhabitant-n
laborer-n	worker-n
officer-n	serviceman-n
preamble-n	section-n
propaganda-n	information-n
registry-n	record-n
receptionist-n	worker-n
parenthesis-n	symbol-n
preconception-n	belief-n
playing-n	show-n
manual-n	publication-n
ferry-n	boat-n
rugby-n	game-n
fluorescence-n	phenomenon-n
ix-n	digit-n
bounty-n	payment-n
reptile-n	vertebrate-n
telegraph-n	apparatus-n
carp-n	seafood-n
volleyball-n	sport-n
symphony-n	sonata-n
taste-n	sensation-n
drift-n	phenomenon-n
electrolyte-n	solution-n
leprosy-n	illness-n
nerve-n	tissue-n
pizza-n	food-n
textbook-n	book-n
mother-n	progenitor-n
bear-n	carnivore-n
fox-n	animal-n
bestseller-n	publication-n
kinsman-n	relative-n
cricketer-n	athlete-n
psychology-n	science-n
dart-n	projectile-n
anorexia-n	disorder-n
mare-n	vertebrate-n
sunshine-n	phenomenon-n
squid-n	solid-n
gasoline-n	hydrocarbon-n
hamster-n	rodent-n
drizzle-n	rain-n
